"","id","sample","hexaco2","hexaco3","hexaco4","hexaco6","hexaco7","hexaco8","hexaco12","hexaco16","hexaco20","hexaco33","hexaco35","hexaco37","hexaco41","hexaco46","hexaco47","hexaco48","hexaco52","hexaco53","hexaco57","hexaco62","hexaco65","hexaco68","hexaco69","hexaco71","hexaco73","hexaco78","hexaco80","hexaco81","hexaco82","hexaco89","hexaco94","hexaco97","hexaco99","hexaco111","hexaco112","hexaco120","hexaco121","hexaco127","hexaco130","hexaco131","hexaco134","hexaco135","hexaco138","hexaco139","hexaco146","hexaco154","hexaco157","hexaco160","hexaco162","hexaco164","hexaco165","hexaco170","hexaco171","hexaco173","hexaco175","hexaco180","hexaco186","hexaco187","hexaco191","hexaco192"
"2727",100405,"research",3,4,2,2,2,4,5,3,5,2,4,2,4,2,2,2,4,4,4,5,4,5,5,2,4,4,4,4,2,4,4,3,2,5,5,4,4,5,3,2,4,4,4,4,4,2,4,2,4,2,3,3,1,2,2,2,2,4,2,2
"2728",100795,"research",3,4,2,2,4,3,3,2,2,4,4,2,3,2,3,2,3,5,4,2,2,4,4,2,2,4,3,2,3,2,3,4,2,3,3,4,2,3,3,2,3,4,5,2,3,3,4,3,4,3,2,3,2,2,4,2,2,4,3,2
"2729",217055,"applicant",3,4,2,2,4,5,4,4,3,1,5,3,1,2,1,2,2,5,3,2,3,5,3,1,2,5,1,4,4,3,4,1,3,4,2,4,3,5,3,1,5,2,5,1,2,3,4,3,4,4,3,1,4,1,1,2,2,4,2,3
"2730",101363,"research",3,4,2,2,5,4,2,4,2,2,3,2,4,3,2,3,1,4,4,2,3,2,5,3,4,3,4,4,4,3,2,2,3,2,2,2,3,4,2,4,4,2,4,2,3,2,4,3,5,2,2,4,1,2,4,4,2,2,2,5
"2731",100987,"research",3,4,2,4,4,2,4,2,4,2,3,3,4,1,3,2,2,4,3,3,3,2,4,2,2,4,4,2,4,3,4,4,2,3,3,4,2,3,2,4,4,3,2,4,3,4,3,4,4,3,2,4,2,2,4,2,4,3,4,4
"2732",100052,"research",3,4,2,1,1,3,4,2,2,1,4,3,3,1,3,2,3,4,4,3,3,4,5,2,2,4,3,5,2,4,5,3,2,4,5,4,2,4,3,2,3,4,5,2,3,2,2,3,5,3,2,4,2,2,2,1,1,2,3,2
"2733",101420,"research",3,4,2,1,1,5,3,4,4,1,5,2,1,2,2,2,2,5,2,2,5,5,5,1,5,1,1,4,4,5,3,2,2,4,2,2,4,5,2,1,2,4,5,1,4,4,4,3,3,2,4,2,1,1,1,4,4,1,5,4
"2734",101999,"research",3,4,2,1,1,5,5,3,3,4,4,4,2,4,1,1,3,5,2,4,5,4,2,2,4,3,2,4,2,3,3,2,5,3,4,4,2,5,3,4,4,4,5,3,2,4,3,2,3,4,4,4,4,3,3,1,4,2,4,2
"2735",100331,"research",3,4,2,2,1,4,2,2,3,1,4,3,1,2,1,1,3,5,3,4,4,3,4,2,3,3,2,4,2,4,4,1,3,2,3,4,4,5,4,1,2,3,4,1,2,2,3,3,3,2,4,4,3,2,1,1,4,2,2,2
"2736",101241,"research",3,4,2,2,2,4,4,2,3,2,4,3,2,2,3,3,3,5,4,4,4,3,4,2,3,3,2,4,4,3,3,2,5,4,3,4,3,3,2,2,3,3,4,2,3,2,4,3,3,3,2,2,2,2,2,2,4,3,3,3
"2737",101113,"research",3,4,2,3,2,4,4,4,2,2,3,2,2,2,2,2,3,4,3,2,4,4,4,2,4,4,4,3,4,3,4,2,2,2,4,4,4,5,3,2,4,3,4,2,4,2,4,2,3,3,2,3,1,2,2,2,3,3,2,2
"2738",101443,"research",3,4,2,3,2,4,2,4,2,2,4,3,2,4,3,2,4,4,3,3,4,3,5,4,3,2,3,4,4,4,2,4,3,3,4,4,4,5,4,1,2,4,3,2,4,2,3,2,4,2,3,2,2,2,2,5,2,3,2,4
"2739",101801,"research",3,4,2,3,2,4,4,4,2,2,4,2,3,2,3,2,2,4,2,3,4,4,4,4,2,2,4,3,4,3,4,2,2,4,4,3,3,4,2,2,2,4,4,4,2,3,4,3,4,2,2,2,1,2,2,2,3,4,3,4
"2740",100753,"research",3,4,2,3,2,4,3,5,4,2,5,2,3,3,3,2,3,3,4,2,4,4,5,2,3,2,1,4,4,5,3,2,2,5,4,4,3,3,3,2,4,4,2,1,3,3,4,4,3,2,1,3,2,2,3,5,4,4,3,3
"2741",100915,"research",3,4,2,3,4,4,2,2,4,2,2,4,2,1,2,3,2,5,2,3,2,3,3,2,3,2,3,2,2,2,2,2,2,2,4,3,2,3,3,4,3,2,4,2,4,2,2,4,2,2,4,2,2,1,4,2,2,2,2,4
"2742",100851,"research",3,4,2,4,4,2,4,2,4,3,4,2,1,1,2,2,3,5,3,3,4,3,4,2,2,1,2,2,2,4,2,2,2,3,4,2,2,5,2,1,4,3,1,3,4,2,4,2,3,4,3,4,3,1,1,4,2,4,2,4
"2743",100144,"research",3,4,3,3,2,3,2,4,4,2,4,3,3,4,4,2,3,2,4,4,2,2,4,4,4,2,4,4,2,2,3,3,2,4,4,4,4,3,4,2,3,4,4,2,4,2,2,3,4,3,3,2,3,3,3,5,4,2,4,4
"2744",215110,"applicant",3,4,3,2,1,4,3,2,4,2,3,4,2,2,2,2,3,4,3,4,4,4,4,2,4,4,3,3,2,2,4,2,2,4,4,4,4,5,4,2,3,4,2,2,4,3,4,2,2,1,2,3,3,1,1,2,4,2,2,3
"2745",100130,"research",3,4,3,2,2,3,4,2,3,2,3,3,2,2,3,2,4,4,4,2,2,2,4,2,2,4,4,4,2,3,2,2,2,3,3,4,4,5,4,1,4,4,3,1,4,4,3,3,4,4,2,4,1,2,1,2,4,1,1,3
"2746",100440,"research",3,4,3,2,2,3,3,2,4,2,4,4,2,2,3,2,3,3,4,3,4,5,4,3,2,4,3,4,2,4,3,4,1,4,3,4,4,5,3,2,3,3,5,3,2,2,2,3,5,1,2,2,2,2,1,2,1,1,3,5
"2747",216905,"applicant",3,4,3,1,1,4,5,2,3,2,3,3,2,2,2,3,4,4,3,3,4,4,4,2,4,4,3,2,2,2,3,2,2,3,4,3,4,5,3,2,3,3,5,2,3,3,3,2,3,2,3,3,2,2,1,1,1,2,3,1
"2748",101117,"research",3,4,3,1,1,4,5,2,3,2,4,4,3,2,2,2,4,3,3,2,3,4,4,2,4,5,3,4,3,4,3,2,2,2,4,4,4,5,3,2,4,3,4,2,3,4,2,2,4,3,2,4,2,2,1,1,3,2,2,1
"2749",100076,"research",3,4,3,1,2,4,5,4,4,3,5,3,4,2,4,2,3,4,2,3,4,4,3,2,4,5,2,2,2,4,4,2,3,2,4,4,4,5,3,2,4,2,5,3,3,4,4,3,4,1,4,3,3,4,2,1,2,3,3,2
"2750",217419,"applicant",3,4,3,1,2,4,4,2,2,1,4,2,2,2,2,2,3,4,5,2,4,5,4,1,4,3,2,4,2,4,3,4,2,5,3,4,4,5,3,1,2,2,5,2,4,2,4,2,5,2,2,4,1,1,1,2,2,2,2,2
"2751",100532,"research",3,4,3,1,2,4,4,3,2,1,3,4,2,2,4,2,3,5,5,4,2,4,4,2,2,5,2,4,4,4,3,3,1,5,5,4,3,4,4,1,3,3,5,1,2,3,1,3,4,1,1,2,1,1,2,2,2,2,2,1
"2752",100866,"research",3,4,3,2,1,3,3,3,3,1,4,4,2,1,1,2,4,5,4,4,4,4,5,2,3,3,2,4,2,3,4,2,3,4,4,3,4,5,4,2,3,4,3,2,3,4,3,2,3,3,2,3,1,2,1,3,4,2,3,3
"2753",100245,"research",3,4,3,2,1,4,4,3,3,3,4,2,4,2,2,2,2,4,3,3,2,2,4,2,4,2,2,4,4,2,3,2,3,2,3,4,4,4,2,2,4,3,4,2,4,2,2,4,4,3,3,3,4,2,2,2,2,2,4,2
"2754",217753,"applicant",3,4,3,2,1,4,3,2,3,3,4,4,2,2,3,2,4,4,4,3,3,3,4,1,4,3,3,3,2,3,4,3,2,3,4,4,4,5,3,1,4,3,4,2,3,4,1,2,4,2,3,2,2,2,1,2,2,2,2,2
